"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,"80,928",+34,"3,245                                ",+8,"70,420","7,263","2,274"
Italy,"41,035","+5,322","3,405                                ",+427,"4,440","33,190","2,498"
Iran,"18,407","+1,046","1,284                                ",+149,"5,979","11,144",
Spain,"17,963","+3,194",830                                ,+192,"1,107","16,026",800
Germany,"15,309","+2,982",44                                ,+16,114,"15,151",2
USA,"11,598","+2,339",171                                ,+21,108,"11,319",64
France,"10,995","+1,861",372                                ,+108,602,"10,021",931
S. Korea,"8,565",+152,91                                ,+7,"1,947","6,527",59
Switzerland,"3,944",+829,41                                ,+8,15,"3,888",
UK,"3,269",+643,144                                ,+40,65,"3,060",20
Netherlands,"2,460",+409,76                                ,+18,2,"2,382",45
Austria,"2,157",+511,6                                ,+2,9,"2,142",13
Belgium,"1,795",+309,21                                ,+7,165,"1,609",130
Norway,"1,766",+175,7                                ,+1,1,"1,758",27
Sweden,"1,439",+138,11                                ,+1,16,"1,412",21
Denmark,"1,151",+94,6                                ,+2,1,"1,144",30
Japan,923,+9,32                                ,+3,191,700,46
Malaysia,900,+110,2                                ,,75,823,15
Canada,801,+74,10                                ,+1,11,780,1
Portugal,785,+143,3                                ,+1,4,778,20
Diamond Princess,712,,7                                ,,527,178,14
Australia,709,+113,6                                ,,46,657,1
Czechia,694,+172, ,,3,691,6
Israel,573,+140, ,,14,559,6
Ireland,557,+191,3                                ,+1,5,549,6
Brazil,540,+11,7                                ,+3,2,531,18
Greece,464,+46,6                                ,+1,19,439,16
Qatar,460,+8, ,,10,450,6
Pakistan,454,+147,2                                ,,13,439,
Finland,400,+41, ,,10,390,2
Poland,357,+70,5                                ,,13,339,3
Singapore,345,+32, ,,124,221,14
Chile,342,+104, ,,,342,6
Luxembourg,335,+132,4                                ,+2,6,325,1
Iceland,330,+80, ,,5,325,1
Slovenia,319,+33,1                                ,,,318,6
Indonesia,308,+81,25                                ,+6,15,268,
Bahrain,277,+21,1                                ,,100,176,4
Romania,277,+17, ,,25,252,5
Saudi Arabia,274,+36, ,,8,266,
Thailand,272,+60,1                                ,,42,229,1
Estonia,267,+9, ,,1,266,1
Egypt,256,+46,7                                ,+1,28,221,
Peru,234,+89, ,,1,233,7
Philippines,217,+15,17                                ,,8,192,1
Hong Kong,208,+15,4                                ,,98,106,4
Ecuador,199,+31,3                                ,,1,195,2
Russia,199,+52,1                                ,+1,8,190,
India,194,+25,4                                ,+1,20,170,
Iraq,192,+28,13                                ,+1,49,130,
Turkey,192,+1,3                                ,+1,,189,
Lebanon,157,+24,4                                ,,4,149,3
South Africa,150,+34, ,,,150,
Kuwait,148,+6, ,,18,130,5
San Marino,140,,14                                ,,4,122,11
UAE,140,+27, ,,31,109,2
Slovakia,124,+19, ,,,124,2
Armenia,122,+12, ,,1,121,2
Mexico,118,+25,1                                ,+1,4,113,1
Croatia,110,+21,1                                ,+1,5,104,
Panama,109,,1                                ,,,108,7
Taiwan,108,+8,1                                ,,26,81,
Colombia,108,+15, ,,1,107,
Bulgaria,107,+15,3                                ,+1,,104,
Serbia,103,+14, ,,1,102,4
Argentina,97,,3                                ,+1,3,91,
Algeria,90,+15,9                                ,+2,32,49,
Costa Rica,87,+18,1                                ,,,86,2
Latvia,86,+15, ,,1,85,
Vietnam,85,+9, ,,16,69,
Uruguay,79,, ,,,79,
Hungary,73,+15,1                                ,,2,70,4
Brunei ,73,+5, ,,,73,2
Faeroe Islands,72,+14, ,,1,71,
Jordan,69,+13, ,,1,68,
Cyprus,67,+9, ,,,67,1
Albania,64,+5,2                                ,,,62,2
Bosnia and Herzegovina,64,+25, ,,2,62,
Morocco,61,+7,2                                ,,2,57,1
Sri Lanka,60,+9, ,,3,57,
Andorra,53,, ,,1,52,
Malta,53,+5, ,,2,51,
Belarus,51,, ,,5,46,
Moldova,49,+13,1                                ,,1,47,3
North Macedonia,49,+6, ,,1,48,1
Oman,48,+9, ,,13,35,
Palestine,47,+3, ,,,47,
Azerbaijan,44,+10,1                                ,,7,36,
Kazakhstan,44,+8, ,,,44,
Venezuela,42,+6, ,,,42,
Lithuania,41,+7, ,,1,40,1
Georgia,40,+2, ,,1,39,1
Tunisia,39,+10,1                                ,+1,1,37,2
Cambodia,37,, ,,1,36,
Senegal,36,, ,,2,34,
Dominican Republic,34,,2                                ,,,32,
Burkina Faso,33,+6,1                                ,,,32,
Guadeloupe,33,, ,,,33,
New Zealand,28,+8, ,,,28,
Liechtenstein,28,, ,,,28,
Martinique,23,,1                                ,,,22,
Uzbekistan,23,+5, ,,,23,
Afghanistan,22,, ,,1,21,
Ukraine,21,+5,3                                ,+1,,18,
Réunion,19,+5, ,,,19,
Bangladesh,18,+4,1                                ,,3,14,
Macao,17,, ,,10,7,
Jamaica,15,,1                                ,,2,12,
Bolivia,15,+3, ,,,15,
French Guiana,15,, ,,,15,
DRC,14,+7, ,,,14,
Cameroon,13,, ,,,13,
Maldives,13,, ,,,13,
Nigeria,12,+4, ,,1,11,
Guam,12,+4, ,,,12,
Honduras,12,+3, ,,,12,
Cuba,11,+1,1                                ,,,10,
Channel Islands,11,+4, ,,,11,
Ghana,11,+4, ,,,11,
Paraguay,11,, ,,,11,1
Rwanda,11,, ,,,11,
Monaco,10,+1, ,,,10,
Gibraltar,10,+2, ,,2,8,
Montenegro,10,+2, ,,,10,
Guatemala,9,+1,1                                ,,,8,
Ivory Coast,9,, ,,1,8,
Trinidad and Tobago,9,+2, ,,,9,
Ethiopia,7,+1, ,,,7,
Kenya,7,, ,,,7,
Mauritius,7,+4, ,,,7,
French Polynesia,6,+1, ,,,6,
Mongolia,6,, ,,,6,
Puerto Rico,6,, ,,,6,
Seychelles,6,, ,,,6,
Tanzania,6,+3, ,,,6,
Guyana,5,+1,1                                ,,,4,
Aruba,5,+1, ,,1,4,
Barbados,5,+3, ,,,5,
Equatorial Guinea,4,, ,,,4,
Cayman Islands,3,+2,1                                ,,,2,
Curaçao,3,,1                                ,+1,,2,
Bahamas,3,+2, ,,,3,
Congo,3,+2, ,,,3,
Gabon,3,, ,,,3,
Kyrgyzstan,3,, ,,,3,
Mayotte,3,, ,,,3,
Namibia,3,+1, ,,,3,
St. Barth,3,, ,,,3,
Saint Martin,3,, ,,,3,
U.S. Virgin Islands,3,+1, ,,,3,
Sudan,2,,1                                ,,,1,
Benin,2,, ,,,2,
Bermuda,2,, ,,,2,
Greenland,2,, ,,,2,
Liberia,2,, ,,,2,
Mauritania,2,, ,,,2,
New Caledonia,2,, ,,,2,
Saint Lucia,2,, ,,,2,
Zambia,2,, ,,,2,
Nepal,1,, ,,1,0,
Antigua and Barbuda,1,, ,,,1,
Bhutan,1,, ,,,1,
CAR,1,, ,,,1,
Chad,1,+1, ,,,1,
Djibouti,1,, ,,,1,
El Salvador,1,+1, ,,,1,
Fiji,1,+1, ,,,1,
Gambia,1,, ,,,1,
Guinea,1,, ,,,1,
Vatican City,1,, ,,,1,
Montserrat,1,, ,,,1,
Nicaragua,1,+1, ,,,1,
St. Vincent Grenadines,1,, ,,,1,
Sint Maarten,1,, ,,,1,
Somalia,1,, ,,,1,
Suriname,1,, ,,,1,
Eswatini,1,, ,,,1,
Togo,1,, ,,,1,
